Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,MACD,MACD_signal,MACD_diff,bollinger_mavg,bollinger_hband,bollinger_lband
5/23/2000,140.4375,140.8125,137.5625,138,89.66941071,7979200,143.0265625,39.90481409833253,-1.089669851,-0.752489244,-0.337180607,143.0265625,148.33076650042847,137.72235849957156
5/24/2000,138,140.6875,136.5,140.25,91.13141632080078,11081500,142.7148438,44.728854340211605,-1.153934059,-0.832778207,-0.321155852,142.7148438,147.90102463462068,137.52866286537932
5/25/2000,140.6875,141.8125,137.71875,137.84375,89.56789398,8278900,142.3070313,40.94355922480526,-1.383084831,-0.942839532,-0.440245299,142.3070313,147.6752980628787,136.93876443712128
5/26/2000,138.8125,139.6875,137.328125,138,89.66941071,4814000,141.9523438,41.290999864821735,-1.534392874,-1.0611502,-0.473242674,141.9523438,147.4724904004981,136.43219709950193
5/30/2000,140,142.9375,139.46875,142.5,92.59346008300781,5362700,141.7242188,50.350520493186664,-1.276478744,-1.104215909,-0.172262835,141.7242188,146.73431865661414,136.71411884338588
5/31/2000,142.5625,144,142.09375,142.8125,92.79643249511719,6056500,141.6585938,50.916960828772574,-1.034933727,-1.090359473,0.055425745532958315,141.6585938,146.57468931513142,136.74249818486857
6/1/2000,143.6875,145.4375,143,145.3125,94.42090606689453,8961600,141.8867188,55.30962627898093,-0.63446474,-0.999180526,0.3647157860862882,141.8867188,147.03112631543016,136.74231118456984
6/2/2000,148.9375,149.09375,147.484375,147.84375,96.06568145751953,8962200,142.1882813,59.28293960392131,-0.111553542,-0.821655129,0.7101015870582119,142.1882813,147.94999210804858,136.4265703919514
6/5/2000,147.46875,148.21875,146.875,147.125,95.59862518310547,6998100,142.3679688,57.71385482,0.24206980119546984,-0.608910143,0.8509799443964143,142.3679688,148.49835919529426,136.23757830470572
6/6/2000,146.625,147.78125,145.90625,146.46875,95.17219543457031,4858900,142.56875,56.249943029847614,0.4640160696868634,-0.394324901,0.8583409703102463,142.56875,148.95484940613488,136.1826505938651
6/7/2000,146.625,148,146,147.484375,95.83216857910156,4919500,142.8773438,58.024458866657845,0.7136361823831407,-0.172732684,0.886368866,142.8773438,149.57946179062753,136.17522570937246
6/8/2000,147.5,147.75,146.0625,146.90625,95.45650482177734,5723100,143.3164063,56.616729767421525,0.8549566560638766,0.032805184,0.8221514720687638,143.3164063,149.8644399705535,136.7683725294465
6/9/2000,147.5,147.96875,145.625,146.59375,95.25345611572266,3085300,143.5820313,55.828277918651324,0.9310059541776923,0.21244533803162868,0.7185606161460636,143.5820313,150.2088210657219,136.9552414342781
6/12/2000,146.96875,146.96875,144.875,144.875,94.13658142089844,3678900,143.6851563,51.57415631132469,0.8428707210283903,0.338530415,0.5043403063974093,143.6851563,150.3250148454827,137.0452976545173
